timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1676113694787102,-1,1,4,-3,1,-3,3,3
1676113694787102,2,2,1,-1,-2,4,2,-2
1676113694794098,1,-1,-4,4,0,0,-1,-5
1676113694794098,-1,4,15,3,-3,-7,-2,6
1676113694810088,-6,-20,-45,-30,0,5,-2,-8
1676113694810088,1,4,13,5,0,-2,-1,17
1676113694812089,3,2,8,6,1,-2,2,0
1676113694812089,0,-1,4,1,1,-6,-2,-8
1676113694824081,-2,3,6,4,-1,-1,-1,-9
1676113694824081,1,-1,-11,-3,-4,5,-5,13
1676113694833079,-1,-4,-10,-7,-2,0,0,2
1676113694833079,-1,1,6,-2,0,1,1,0
1676113694848067,0,1,1,3,-2,-5,-2,-3
1676113694848067,-1,-1,-4,-7,-2,-3,-4,-16
1676113694849069,-1,0,3,0,1,-3,-1,8
1676113694849069,0,1,1,-2,-5,-1,-1,-7
1676113694870054,-3,-11,-36,-15,-6,-13,-4,-11
1676113694870054,1,6,20,0,-3,15,11,27
1676113694872054,-1,-3,3,4,9,7,-2,-2
1676113694872054,0,3,0,3,-1,-3,-2,-4
1676113694884048,1,4,22,7,-3,-4,0,1
1676113694884048,-4,-11,-41,-24,-5,-8,-7,-21
1676113694893043,0,3,9,8,0,1,-1,3
1676113694893043,0,4,-2,-3,0,-3,1,5
1676113694907034,-1,-3,-14,0,2,-1,-1,-1
1676113694907034,-1,0,11,8,7,8,2,3
1676113694909034,-5,-7,1,-2,6,19,4,-21
1676113694909034,-2,-4,-9,-6,-1,-10,-3,13
1676113694930020,-1,6,14,10,5,11,2,10
1676113694930020,-2,1,3,5,8,7,1,-8
1676113694932022,1,1,-1,7,-5,-12,-6,1
1676113694932022,-3,-4,-12,-12,-2,-18,-7,-35
1676113694944012,0,-5,2,-7,-7,7,-2,38
1676113694944012,1,-1,-4,2,1,9,0,9
1676113694953008,-2,3,9,9,0,-3,7,6
1676113694953008,-5,-7,-5,-3,-3,-11,-1,-7
1676113694968000,-4,-3,-9,-2,5,-24,-9,-16
1676113694968000,1,0,0,-4,-14,2,-1,-11
1676113694973998,1,1,-1,-2,0,-4,-4,1
1676113694973998,-1,1,5,2,2,6,2,11
1676113694989987,-1,0,2,2,-4,12,4,-2
1676113694989987,1,1,8,3,0,-7,-2,-4
1676113694991987,-2,0,-1,1,-4,-7,-2,0
1676113694991987,2,-1,-15,-7,-3,8,2,7
1676113695003978,-2,1,11,-4,-11,12,1,-5
1676113695003978,3,-2,-3,9,3,-21,-5,-11
1676113695012976,-1,-2,-4,2,-9,-18,-8,8
1676113695012976,-9,-3,22,16,14,3,3,-3
1676113695026966,1,-3,-8,-13,-23,-6,-1,3
1676113695026966,-1,-4,2,-1,6,-16,-6,-10
1676113695033963,4,7,8,14,14,24,4,6
1676113695033963,3,6,-3,-7,-8,-16,-1,4
1676113695049953,-3,1,-3,1,-4,2,2,-7
1676113695049953,-7,-3,7,-1,-2,47,7,-2
1676113695051954,1,-2,-9,-8,2,-16,-7,0
1676113695051954,-3,-1,4,-6,5,5,0,-4
1676113695072940,13,15,-2,0,-3,-19,-3,4
1676113695072940,-18,-21,-10,-5,-3,40,1,-10
1676113695073939,1,1,12,13,28,34,6,4
