timestamp,RH X ,RH Y,RH Z,RS X, RS Y,RS Z,RE X,RE Y,RE Z,RW X,RW Y,RW Z,LS X,LS Y,LS Z,LC X,LC Y,LC Z
1676113745659656,-1.56002,0.490263,2.96817,-1.5434,0.887663,3.22752,-1.55475,0.73927,3.07132,-1.56198,0.556973,2.97118,-1.54699,0.756428,3.00797,-1.54292,0.850405,3.11578
1676113745694027,-1.55876,0.488538,2.96745,-1.54045,0.887756,3.22481,-1.5535,0.736906,3.07087,-1.56027,0.555358,2.96841,-1.54986,0.759393,3.03257,-1.54242,0.844246,3.11362
1676113745739177,-1.56474,0.488496,2.98565,-1.54017,0.887341,3.2247,-1.55345,0.736398,3.07035,-1.56055,0.553371,2.97004,-1.55042,0.763847,3.03604,-1.54239,0.844342,3.11335
1676113745765709,-1.56353,0.478227,2.97285,-1.53929,0.875244,3.22592,-1.55355,0.728939,3.06624,-1.56259,0.544821,2.96748,-1.55415,0.77357,3.05133,-1.54402,0.847243,3.11857
1676113745800304,-1.56003,0.478081,2.96294,-1.53932,0.877058,3.22391,-1.55332,0.730374,3.06433,-1.56264,0.544634,2.96855,-1.5425,0.776255,3.01771,-1.54336,0.848632,3.11791
1676113745832335,-1.56015,0.4623,2.96099,-1.53975,0.873,3.2211,-1.5518,0.711205,3.07835,-1.55764,0.526153,2.98046,-1.54288,0.780406,3.0225,-1.54308,0.847237,3.1186
1676113745863830,-1.56589,0.457784,2.97382,-1.53925,0.875593,3.21915,-1.55271,0.710881,3.08003,-1.56187,0.522785,2.98851,-1.54602,0.768558,3.02301,-1.54238,0.83687,3.12302
1676113745894344,-1.56214,0.461098,2.96556,-1.53963,0.875893,3.2196,-1.55172,0.712906,3.07757,-1.56029,0.52495,2.98495,-1.54971,0.751554,3.03251,-1.54363,0.819548,3.13579
1676113745942145,-1.56225,0.462912,2.96736,-1.54094,0.869966,3.23119,-1.55163,0.715815,3.07808,-1.5609,0.525813,2.98979,-1.54757,0.770527,3.01841,-1.54401,0.830701,3.12685
1676113745967343,-1.56218,0.463627,2.96812,-1.54113,0.872543,3.2286,-1.5517,0.715687,3.07937,-1.56091,0.526279,2.99096,-1.55284,0.759459,3.04873,-1.54478,0.83071,3.11741
1676113746002344,-1.56175,0.462548,2.96417,-1.54067,0.874889,3.21782,-1.55139,0.714725,3.07339,-1.56021,0.525682,2.98533,-1.55215,0.7531,3.04543,-1.54473,0.833547,3.11728
1676113746027765,-1.56216,0.459132,2.97472,-1.54096,0.874295,3.21832,-1.55176,0.714224,3.07468,-1.56006,0.520448,3.00059,-1.54535,0.786451,3.03479,-1.54474,0.831815,3.1208
1676113746064446,-1.56174,0.475781,2.97412,-1.54063,0.876969,3.21819,-1.55313,0.731324,3.05815,-1.56387,0.54231,2.97125,-1.54208,0.798942,3.0249,-1.54352,0.834916,3.11906
1676113746096032,-1.56219,0.47979,2.96446,-1.54045,0.877234,3.21688,-1.55333,0.730263,3.058,-1.56303,0.546149,2.95971,-1.54279,0.796487,3.02202,-1.5433,0.830588,3.11333
1676113746139250,-1.56117,0.476326,2.96905,-1.54025,0.879392,3.21708,-1.55332,0.732894,3.05755,-1.56515,0.542544,2.9733,-1.54316,0.799932,3.01428,-1.54271,0.833983,3.10416
1676113746163542,-1.56207,0.450991,2.96422,-1.53542,0.879206,3.18098,-1.54955,0.711758,3.04703,-1.56002,0.51394,2.98552,-1.54418,0.8267,2.98594,-1.54557,0.831412,3.05157
1676113746199554,-1.55152,0.567211,2.96882,-1.5189,0.972135,3.18898,-1.54011,0.834912,3.0212,-1.5541,0.633304,2.97582,-1.53391,0.907602,3.01013,-1.53516,0.908775,3.07952
1676113746234490,-1.55198,0.575543,2.96623,-1.51828,0.97327,3.18782,-1.54084,0.843816,3.01389,-1.55406,0.641756,2.9724,-1.52077,0.970252,3.02777,-1.52202,0.971425,3.09715
1676113746264898,-1.55623,0.644528,2.9639,-1.51286,1.05797,3.20719,-1.53373,0.905203,3.05464,-1.5506,0.709697,2.98451,-1.54136,0.881783,2.99438,-1.51864,0.996814,3.07176
