timestamp,RH X ,RH Y,RH Z,RS X, RS Y,RS Z,RE X,RE Y,RE Z,RW X,RW Y,RW Z,LS X,LS Y,LS Z,LC X,LC Y,LC Z
1684796578046488,-0.111568,-0.0273523,0.905614,0.0625982,-0.232995,1.027,0.0558305,-0.123538,0.896924,-0.069718,-0.0513987,0.901445,-0.126377,-0.19681,1.03591,-0.0517069,-0.0975885,1.03421
1684796578076611,-0.111728,-0.0274507,0.906457,0.0625223,-0.2326,1.0269,0.0563586,-0.123354,0.896599,-0.0697065,-0.0514265,0.901998,-0.126453,-0.196415,1.03581,-0.0517827,-0.0971942,1.0341
1684796578106728,-0.112089,-0.0277441,0.907698,0.06265,-0.231374,1.02628,0.0570698,-0.122593,0.895531,-0.0697995,-0.0514564,0.902663,-0.126325,-0.195189,1.0352,-0.051655,-0.0959676,1.03349
1684796578137086,-0.112108,-0.0277094,0.908288,0.063199,-0.231865,1.0263,0.0576959,-0.123172,0.895474,-0.0696566,-0.0515751,0.903092,-0.125776,-0.19568,1.03521,-0.051106,-0.0964586,1.03351
1684796578181805,-0.112385,-0.0263171,0.907722,0.0647901,-0.237027,1.0295,0.058973,-0.12802,0.898996,-0.0695458,-0.0517429,0.90355,-0.124185,-0.200842,1.03841,-0.049515,-0.101621,1.0367
1684796578212052,-0.112203,-0.0268785,0.90871,0.0634281,-0.235865,1.02901,0.0588673,-0.127497,0.897869,-0.0694356,-0.0520332,0.904011,-0.125547,-0.19968,1.03793,-0.050877,-0.100459,1.03622
1684796578241933,-0.105613,-0.0327639,0.906463,0.0633342,-0.234506,1.02814,0.0590654,-0.126503,0.896658,-0.0644436,-0.0561986,0.902024,-0.125641,-0.198321,1.03706,-0.0509708,-0.0990995,1.03535
1684796578289193,-0.107065,-0.0323709,0.908429,0.0638506,-0.235211,1.02805,0.059376,-0.127059,0.896727,-0.0654551,-0.0560429,0.903517,-0.125125,-0.199026,1.03696,-0.0504544,-0.0998047,1.03526
1684796578318639,-0.104772,-0.034668,0.907954,0.0633947,-0.233803,1.0273,0.0593442,-0.126178,0.895489,-0.0637427,-0.0575454,0.902852,-0.125581,-0.197618,1.03622,-0.0509104,-0.0983966,1.03451
1684796578348604,-0.106649,-0.0345039,0.910224,0.0631485,-0.232275,1.02653,0.0592206,-0.125026,0.894372,-0.0651818,-0.0571344,0.904277,-0.125827,-0.19609,1.03544,-0.0511566,-0.0968687,1.03373
1684796578378898,-0.107217,-0.0349791,0.911457,0.0626186,-0.229792,1.02463,0.0589561,-0.123078,0.892045,-0.0656736,-0.0570037,0.904627,-0.126357,-0.193607,1.03354,-0.0516865,-0.0943858,1.03183
1684796578424692,-0.107144,-0.0360384,0.912364,0.0613731,-0.225867,1.0221,0.0578358,-0.119939,0.888911,-0.0658989,-0.0570134,0.904531,-0.127602,-0.189682,1.03101,-0.052932,-0.0904608,1.02931
1684796578438889,-0.124007,-0.0189424,0.910811,0.0563264,-0.238431,1.02932,0.0442097,-0.125823,0.903117,-0.081953,-0.0456625,0.906919,-0.132649,-0.202246,1.03823,-0.0579787,-0.103025,1.03652
1684796578484608,-0.140837,-0.00477643,0.91337,0.0544673,-0.246564,1.0328,0.030823,-0.128028,0.914692,-0.0979223,-0.0355892,0.91173,-0.134508,-0.210379,1.04172,-0.0598378,-0.111158,1.04001
1684796578514581,-0.0712372,-0.00233762,0.791716,0.00687678,-0.198057,1.03316,0.00660066,-0.101125,0.892261,-0.0517777,-0.0270344,0.814881,-0.125669,-0.243662,1.04889,-0.0509984,-0.14444,1.04718
1684796578544779,-0.06367,-0.0097619,0.797906,0.0220749,-0.222054,1.0314,0.000762388,-0.117371,0.898856,-0.0475619,-0.0366642,0.821171,-0.14217,-0.249241,1.0555,-0.0675,-0.150019,1.05379
1684796578574525,-0.0516742,-0.0682418,0.749555,0.0107467,-0.240535,1.02342,0.00358601,-0.158329,0.872541,-0.0378591,-0.0907635,0.778329,-0.131291,-0.177784,1.05567,-0.0917796,-0.100751,1.05489
